timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-12-30,0.0007378,0.001489,0.000271,0.0003325,294740.44,1609372799999,122.34569765,21688,112616.09,46.4396203,0
2020-12-31,0.0003325,0.0003582,0.0002363,0.0002408,71659.6,1609459199999,20.45905907,7917,29432.87,8.34864643,0
2021-01-01,0.0002407,0.000261,0.0001915,0.0002415,111662.26,1609545599999,24.7544179,10107,47858.71,10.64811819,0
2021-01-02,0.0002414,0.0002699,0.0001787,0.0001809,100142.69,1609631999999,22.805,9545,44924.77,10.17278085,0
2021-01-03,0.0001809,0.0001931,0.0001507,0.0001541,37611.89,1609718399999,6.184168,4424,16614.92,2.73667709,0
2021-01-04,0.0001538,0.0001737,0.0001392,0.0001519,41932.7,1609804799999,6.26291644,3964,17591.68,2.63931393,0
2021-01-05,0.0001504,0.0001538,0.0001236,0.0001276,34201.93,1609891199999,4.79791677,4875,14216.15,1.997906,0
2021-01-06,0.0001277,0.0001326,0.0001126,0.0001127,39044.38,1609977599999,4.84502847,2175,20094.57,2.52005264,0
2021-01-07,0.0001127,0.0001199,9.72e-05,9.86e-05,30248.76,1610063999999,3.20156541,2007,10870.37,1.14284511,0
2021-01-08,9.79e-05,0.0001199,9.56e-05,9.72e-05,31096.06,1610150399999,3.24345555,2186,14365.31,1.48724941,0
2021-01-09,9.69e-05,0.0001032,9.1e-05,9.46e-05,22091.5,1610236799999,2.0741979,1141,8585.14,0.80825366,0
2021-01-10,9.37e-05,9.5e-05,8.86e-05,9.05e-05,15460.05,1610323199999,1.41544367,1088,7759.37,0.71418048,0
2021-01-11,9.19e-05,9.79e-05,4.6e-05,8.72e-05,39466.95,1610409599999,3.43609876,1772,17373.47,1.51693192,0
2021-01-12,8.97e-05,9.12e-05,8.25e-05,8.78e-05,12632.15,1610495999999,1.09509362,935,4252.64,0.36942676,0
2021-01-13,8.8e-05,0.0001579,8.02e-05,0.00014,247711.5,1610582399999,31.34957739,9337,110242.28,13.84551888,0
2021-01-14,0.00014,0.0001541,0.0001072,0.0001151,311953.87,1610668799999,40.64069925,15786,140156.46,18.23232897,0
2021-01-15,0.0001151,0.0001318,0.0001131,0.0001201,88057.53,1610755199999,10.88433712,5238,45844.06,5.68202695,0
2021-01-16,0.0001201,0.0001331,0.0001164,0.0001239,99910.26,1610841599999,12.21364195,4615,43395.07,5.27592507,0
2021-01-17,0.0001237,0.0001266,0.0001155,0.0001191,30932.51,1610927999999,3.76018625,2392,15347.81,1.87051764,0
2021-01-18,0.0001202,0.0001243,0.0001142,0.0001162,17513.63,1611014399999,2.07002019,1632,7393.33,0.87477501,0
2021-01-19,0.0001164,0.0001172,0.000109,0.0001139,15486.57,1611100799999,1.74102648,1586,7677.5,0.86161278,0
2021-01-20,0.0001141,0.000135,0.0001123,0.0001234,156335.15,1611187199999,19.95177493,6176,112461.57,14.41030711,0
